date|time|description|vendor|amount|category
2026-03-02|08:45:10|Monthly gym membership|FitLife Gym|-49.99|Health
2026-03-03|13:22:45|Grocery shopping|Whole Foods|-134.76|Food
2026-04-04|09:00:00|Invoice 1002 paid|TechCorp|3200.00|Salary
2026-04-05|17:30:12|Electric bill payment|Duquesne Light|-98.43|Essentials
2026-04-06|11:05:33|Coffee and snacks|Starbucks|-22.15|Food
2026-04-08|14:50:00|Online course subscription|Udemy|-29.99|Education
2026-04-10|10:15:00|Freelance payment received|Maria Santos|850.00|Freelance
2026-04-11|19:20:55|Dinner for two|Olive Garden|-67.30|Food
2026-04-13|09:45:22|Cloud storage plan|Google|-2.99|Lifestyle
2026-04-15|16:00:00|New office chair|Staples|-249.00|Lifestyle
2026-04-28|11:03:21|Paycheck|Work|2000.0|Salary
2026-04-28|11:04:03|grocery shopping|Aldi|-20.0|Food
2026-04-28|11:07:40|paycheck|BNY|2000.0|Salary
2026-04-28|11:08:12|grocery shopping|Aldi|-20.0|Food
2026-04-28|11:36:27|paycheck|work|90.0|Salary
2026-04-28|11:37:00|groceries|aldi|-89.0|Food
2026-04-28|13:41:38|paycheck|BNY|3000.0|Salary
2026-04-28|14:09:44|bonus payment|Chick-fil-a|20.0|Gift
2026-04-28|14:12:11|grocery shopping|Whole Foods|-45.0|Food
2026-04-28|14:58:02|Paycheck|Chickfila|200.0|Salary
2026-04-28|14:59:18|grocery shopping|Aldi|-89.56|Food
2026-04-29|08:37:45|Paycheck|Chickfila|300.0|Salary
2026-04-29|08:41:00|Paycheck|Chickfila|300.0|Salary
2026-04-29|08:41:37|Grocery shopping|Aldi|-45.9|Food
2026-04-29|13:02:38|    Bonus payment|Work|200.0|Other Income
2026-04-29|13:03:37|New computer|Apple store|-1800.0|Other
2026-04-30|09:56:13|Paychech|Chickfila|300.0|Salary
2026-04-30|09:56:43|Grocery shopping|Sam's club|-100.09|Food
2026-04-30|12:53:07|Appointment|UPMC hospital|-200.0|Health
2026-04-30|12:54:02|New book|Half-book-price|-2.9|Education
2026-04-30|14:09:52|Bonus|Chickfila|25.0|Other Income
2026-04-30|14:10:32|New notebook|Target|-15.0|Education
2026-04-30|16:48:16|paycheck|Work|200.0|Salary
2026-04-30|16:48:37|gocery shopping|Bjs|-290.0|Food
